V01_RESPID,V07_PROVINCE,V08_SEX,V09_RURAL,V16_NUMPEOPLE,V17_PEOPLE18,V20_MARITAL,V21_MTHRTONGUE,V29_RESPEDUC,V30_RESPAGE,V36_TENURE,V43_SOCCLASS,V64_DRINK,V65_DRINK1,V68_DRINK8,V70_DRINKPROB,
380,5,2,0,3,3,2,1,6,48,2,5,2,8,8,1,
381,5,1,0,3,2,2,1,8,25,2,5,2,8,8,2,
382,5,1,0,2,2,1,2,7,21,2,7,1,6,1,1,
383,5,2,0,2,2,2,3,4,64,2,4,1,0,0,2,
384,5,1,0,3,2,2,1,8,28,2,5,1,0,0,2,
385,5,2,0,4,2,2,2,4,45,2,4,1,1,0,2,
386,5,1,0,2,2,2,2,8,27,2,7,1,2,0,1,
387,5,2,0,1,1,1,2,8,62,2,6,1,1,0,2,
388,5,1,0,5,3,1,1,3,16,2,3,1,0,0,1,
389,5,1,0,2,2,1,1,7,20,2,3,1,1,1,1,
390,5,2,0,1,1,3,1,4,45,2,4,1,1,0,1,
